ref_area,indicator,source,classif1,classif2,time,obs_value,note_indicator,note_source
BGR,FOW_TVOL_AGE_VOL_RT,BB:3058,AGE_AGGREGATE_YGE65,VOL_TYPE_ORG,2015,3,,S16:5832_T2:85
BGR,FOW_TVOL_AGE_VOL_RT,BB:3058,AGE_AGGREGATE_YGE65,VOL_TYPE_DIRECT,2015,3.3,,S16:5832_T2:85
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2018,79.4,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2018,41.1,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_TOTAL,VOL_TYPE_DIRECT,2018,73.6,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2018,79.4,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y15-24,VOL_TYPE_ORG,2018,52.3,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y15-24,VOL_TYPE_DIRECT,2018,76.2,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2018,80.9,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y25-64,VOL_TYPE_ORG,2018,40.3,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y25-64,VOL_TYPE_DIRECT,2018,75.6,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2018,69.7,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_YGE65,VOL_TYPE_ORG,2018,35.5,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_YGE65,VOL_TYPE_DIRECT,2018,64.8,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2013,44,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_TOTAL,VOL_TYPE_DIRECT,2013,82,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y15-24,VOL_TYPE_ORG,2013,53,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y15-24,VOL_TYPE_DIRECT,2013,89,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y25-64,VOL_TYPE_ORG,2013,45,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y25-64,VOL_TYPE_DIRECT,2013,85,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_YGE65,VOL_TYPE_ORG,2013,33,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_YGE65,VOL_TYPE_DIRECT,2013,67,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2010,47,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_TOTAL,VOL_TYPE_DIRECT,2010,83,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y15-24,VOL_TYPE_ORG,2010,58,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y15-24,VOL_TYPE_DIRECT,2010,87,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y25-64,VOL_TYPE_ORG,2010,47,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y25-64,VOL_TYPE_DIRECT,2010,85,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_YGE65,VOL_TYPE_ORG,2010,36,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_YGE65,VOL_TYPE_DIRECT,2010,71,,S16:5832
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2020,41,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2020,15.9,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_TOTAL,VOL_TYPE_DIRECT,2020,35,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2020,37,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y15-24,VOL_TYPE_ORG,2020,16.6,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y15-24,VOL_TYPE_DIRECT,2020,26,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2020,43.7,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y25-64,VOL_TYPE_ORG,2020,16.7,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y25-64,VOL_TYPE_DIRECT,2020,34.9,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2020,35.1,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_YGE65,VOL_TYPE_ORG,2020,13.2,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_YGE65,VOL_TYPE_DIRECT,2020,28.9,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2016,42.7,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2016,19.5,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_TOTAL,VOL_TYPE_DIRECT,2016,31.7,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2016,38.7,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y15-24,VOL_TYPE_ORG,2016,18.8,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y15-24,VOL_TYPE_DIRECT,2016,25.7,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2016,43.2,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y25-64,VOL_TYPE_ORG,2016,20.3,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y25-64,VOL_TYPE_DIRECT,2016,31.7,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2016,42.2,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_YGE65,VOL_TYPE_ORG,2016,17.1,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_YGE65,VOL_TYPE_DIRECT,2016,33.5,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2013,32.9,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2013,19.7,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_TOTAL,VOL_TYPE_DIRECT,2013,18.4,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2013,26.6,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y15-24,VOL_TYPE_ORG,2013,18.7,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y15-24,VOL_TYPE_DIRECT,2013,10.3,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2013,34.6,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y25-64,VOL_TYPE_ORG,2013,21.2,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y25-64,VOL_TYPE_DIRECT,2013,19.1,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2013,31.5,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_YGE65,VOL_TYPE_ORG,2013,15.6,,S16:5837
